ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
31,Paris,French Open,23/05/10,Grand Slam,Outdoor,Clay,1st Round,5,De Bakker T.,Patience O.,50,294,858,145,6,4,5,7,6,4,6,3,,,3,1,Completed,1.22,4,1.25,3.55,1.25,3.75,1.24,4.76,1.22,3.75,1.29,4.8,1.24,3.88
31,Paris,French Open,23/05/10,Grand Slam,Outdoor,Clay,1st Round,5,Cilic M.,Mello R.,12,90,2945,575,6,1,3,6,6,3,6,1,,,3,1,Completed,1.04,10,1.06,8,1.06,8,1.07,11.25,1.05,8,1.1,11.8,1.06,8.62
31,Paris,French Open,23/05/10,Grand Slam,Outdoor,Clay,1st Round,5,Fognini F.,Massu N.,92,91,570,571,6,1,3,6,2,6,6,3,6,3,3,2,Completed,1.72,2,1.75,2,1.8,1.91,1.72,2.27,1.8,1.9,1.95,2.27,1.73,2.05
31,Paris,French Open,23/05/10,Grand Slam,Outdoor,Clay,1st Round,5,Youzhny M.,Przysiezny M.,14,94,2375,565,6,1,6,0,6,4,,,,,3,0,Completed,1.03,11,1.07,7.5,1.06,8,1.05,14.3,1.03,10,1.07,14.63,1.04,9.83
31,Paris,French Open,23/05/10,Grand Slam,Outdoor,Clay,1st Round,5,Falla A.,Tipsarevic J.,70,43,705,940,6,1,6,2,6,3,,,,,3,0,Completed,1.57,2.25,1.6,2.25,1.57,2.25,1.76,2.21,1.62,2.2,2.3,2.35,1.79,1.98
31,Paris,French Open,23/05/10,Grand Slam,Outdoor,Clay,1st Round,5,Soderling R.,Recouderc L.,7,171,4755,275,6,0,6,2,6,3,,,,,3,0,Completed,1.02,12,1.03,10,1.03,10,1.04,15.5,1.02,11,1.05,16,1.03,11.28
31,Paris,French Open,23/05/10,Grand Slam,Outdoor,Clay,1st Round,5,Garcia-Lopez G.,Schuettler R.,40,79,965,622,7,5,6,4,6,2,,,,,3,0,Completed,1.11,6,1.17,4.65,1.17,4.5,1.17,6.19,1.17,4.5,1.18,6.7,1.15,5.21
31,Paris,French Open,23/05/10,Grand Slam,Outdoor,Clay,1st Round,5,Montanes A.,Galvani S.,34,281,1325,160,6,3,6,3,6,3,,,,,3,0,Completed,1.08,7,1.12,5.75,1.13,5.5,1.11,8.36,1.1,6,1.13,8.36,1.1,6.44
31,Paris,French Open,23/05/10,Grand Slam,Outdoor,Clay,1st Round,5,Benneteau J.,Gulbis E.,38,28,1024,1494,6,4,6,2,1,0,,,,,2,0,Retired,6.5,1.1,5.3,1.13,5.5,1.13,7.23,1.13,5,1.14,7.23,1.17,5.68,1.13
31,Paris,French Open,23/05/10,Grand Slam,Outdoor,Clay,1st Round,5,Tsonga J.W.,Brands D.,10,88,3185,577,4,6,6,3,6,2,6,7,7,5,3,2,Completed,1.05,9,1.04,9,1.06,8,1.06,13,1.05,8,1.08,13.11,1.05,9.19
